Absolute_Position,Normalized_Position,Utterance_Length,Utterance_Length_Unique,Utterance_Length_Stemmed_Unique,Is_Starter
3,1.0,9,8,8,True
1,0.3333333333333333,32,21,21,True
2,0.6666666666666666,17,15,14,False
3,1.0,13,13,13,True
1,0.16666666666666666,18,15,14,True
2,0.3333333333333333,52,43,42,False
3,0.5,9,8,8,False
4,0.6666666666666666,28,26,25,False
5,0.8333333333333334,30,25,23,True
6,1.0,33,28,27,False
1,0.16666666666666666,163,81,72,True
2,0.3333333333333333,25,19,18,False
3,0.5,2,2,2,True
4,0.6666666666666666,31,24,21,False
5,0.8333333333333334,10,10,10,True
6,1.0,4,4,4,False
1,0.25,25,18,18,True
2,0.5,47,33,32,False
3,0.75,15,11,11,True
4,1.0,32,23,22,False
1,0.16666666666666666,20,16,16,True
2,0.3333333333333333,66,50,47,False
3,0.5,24,22,22,True
4,0.6666666666666666,29,25,25,False
5,0.8333333333333334,17,16,16,True
6,1.0,47,32,26,False
1,0.3333333333333333,224,135,122,True
2,0.6666666666666666,56,42,41,False
3,1.0,40,27,27,True
1,0.2,43,36,36,True
2,0.4,34,30,29,False
3,0.6,12,11,11,True
4,0.8,33,29,29,False
5,1.0,27,23,23,False
1,0.16666666666666666,26,24,22,True
2,0.3333333333333333,39,31,31,False
3,0.5,71,45,40,False
4,0.6666666666666666,6,6,6,False
5,0.8333333333333334,2,2,2,False
6,1.0,19,16,16,False
1,0.25,34,27,25,True
2,0.5,22,20,18,False
3,0.75,56,41,39,True
4,1.0,26,25,24,True
1,0.16666666666666666,72,49,46,True
2,0.3333333333333333,104,68,65,False
3,0.5,5,5,5,False
4,0.6666666666666666,26,24,24,False
5,0.8333333333333334,5,5,5,True
6,1.0,23,20,20,True
1,0.16666666666666666,6,6,6,True
2,0.3333333333333333,202,121,108,False
3,0.5,95,61,59,True
4,0.6666666666666666,130,81,79,False
5,0.8333333333333334,30,27,27,False
6,1.0,86,47,41,False
1,0.3333333333333333,33,25,24,True
2,0.6666666666666666,179,130,123,False
3,1.0,48,40,38,False
1,0.25,73,52,52,True
2,0.5,57,45,44,False
3,0.75,18,18,18,False
4,1.0,83,66,64,False
1,0.2,39,30,29,True
2,0.4,33,24,24,False
3,0.6,23,21,21,True
4,0.8,79,56,53,False
5,1.0,29,22,21,True
1,0.3333333333333333,62,45,41,True
2,0.6666666666666666,54,42,41,False
3,1.0,42,34,32,True
1,0.25,54,41,41,True
2,0.5,75,54,52,False
3,0.75,37,32,32,True
4,1.0,51,35,34,False
1,0.3333333333333333,150,115,111,True
2,0.6666666666666666,158,95,85,False
3,1.0,5,5,5,False
1,0.25,55,32,32,True
2,0.5,55,45,44,False
3,0.75,2,2,2,True
4,1.0,27,23,22,False
1,0.3333333333333333,51,37,37,True
2,0.6666666666666666,23,20,20,True
3,1.0,80,56,53,False
1,0.25,13,12,12,True
2,0.5,71,45,42,False
3,0.75,1,1,1,True
4,1.0,17,15,14,False
1,0.25,50,34,30,True
2,0.5,67,47,45,False
3,0.75,15,14,13,True
4,1.0,25,21,21,False
1,0.3333333333333333,45,36,34,True
2,0.6666666666666666,58,44,40,False
3,1.0,27,19,19,True
1,0.16666666666666666,22,20,20,True
2,0.3333333333333333,71,42,37,False
3,0.5,36,30,30,False
4,0.6666666666666666,33,28,28,False
5,0.8333333333333334,21,20,20,False
6,1.0,92,63,61,False
1,0.25,88,59,54,True
2,0.5,41,33,32,False
4,1.0,6,6,6,True
5,1.25,21,19,19,False
1,0.3333333333333333,39,38,37,True
2,0.6666666666666666,25,23,22,False
3,1.0,6,5,5,False
1,0.3333333333333333,71,55,52,True
2,0.6666666666666666,58,41,39,False
3,1.0,3,3,3,True
1,0.25,76,49,46,True
2,0.5,88,62,54,False
3,0.75,140,85,80,False
4,1.0,20,17,17,False
1,0.3333333333333333,7,6,6,True
2,0.6666666666666666,112,73,69,False
5,1.6666666666666667,89,64,63,False
1,0.25,19,16,15,True
2,0.5,53,41,37,False
3,0.75,5,5,5,True
4,1.0,121,65,58,False
1,0.3333333333333333,68,44,42,True
2,0.6666666666666666,66,49,47,False
4,1.3333333333333333,39,30,28,False
1,0.16666666666666666,65,53,51,True
2,0.3333333333333333,57,45,40,False
3,0.5,80,61,57,False
4,0.6666666666666666,61,43,40,False
5,0.8333333333333334,62,52,51,True
6,1.0,51,39,39,False
1,0.25,42,34,34,True
2,0.5,89,63,62,False
3,0.75,87,67,62,True
4,1.0,40,33,33,False
1,0.16666666666666666,52,43,41,True
2,0.3333333333333333,35,23,23,False
3,0.5,38,33,33,True
4,0.6666666666666666,10,9,9,False
5,0.8333333333333334,5,5,5,True
6,1.0,11,11,11,False
1,0.25,19,17,17,True
2,0.5,237,150,135,False
3,0.75,13,12,12,True
4,1.0,50,40,39,False
1,0.3333333333333333,138,88,81,True
2,0.6666666666666666,174,117,106,False
3,1.0,7,7,6,False
1,0.3333333333333333,45,31,31,True
2,0.6666666666666666,42,32,31,False
3,1.0,32,24,24,True
1,0.1,52,41,40,True
2,0.2,29,27,27,False
3,0.3,180,129,116,False
4,0.4,118,85,79,True
5,0.5,135,85,82,False
6,0.6,54,42,42,True
7,0.7,73,55,50,False
8,0.8,68,45,42,True
9,0.9,11,10,10,False
10,1.0,14,13,13,True
1,0.2,124,76,71,True
2,0.4,35,25,23,False
3,0.6,86,65,62,False
4,0.8,6,6,6,True
5,1.0,18,15,15,False
1,0.2,210,146,130,True
2,0.4,122,79,74,False
3,0.6,38,32,30,True
4,0.8,1,1,1,False
5,1.0,20,16,15,False
1,0.25,16,12,12,True
2,0.5,52,35,34,False
3,0.75,16,14,14,False
4,1.0,7,6,6,False
1,0.3333333333333333,63,42,39,True
2,0.6666666666666666,6,6,6,False
3,1.0,47,35,34,False
1,0.25,74,57,56,True
2,0.5,21,19,18,False
3,0.75,47,40,40,True
4,1.0,25,24,24,True
1,0.25,14,12,12,True
2,0.5,301,159,147,False
3,0.75,11,8,8,True
4,1.0,58,34,34,False
1,0.14285714285714285,84,66,62,True
2,0.2857142857142857,2,2,2,False
3,0.42857142857142855,106,73,68,False
4,0.5714285714285714,47,38,37,True
5,0.7142857142857143,18,15,15,False
6,0.8571428571428571,56,47,47,True
7,1.0,22,20,19,False
1,0.125,41,33,33,True
2,0.25,158,103,90,False
3,0.375,31,24,22,False
4,0.5,11,10,10,False
5,0.625,19,19,18,False
6,0.75,36,24,24,True
7,0.875,29,23,22,True
8,1.0,52,39,39,False
1,0.1,191,99,94,True
2,0.2,164,96,85,False
3,0.3,34,29,29,True
4,0.4,45,30,30,False
5,0.5,29,23,23,True
6,0.6,70,47,40,False
7,0.7,36,25,24,True
8,0.8,18,17,17,False
9,0.9,82,66,60,False
10,1.0,20,20,20,False
1,0.25,54,43,41,True
2,0.5,62,43,43,False
3,0.75,21,20,20,True
4,1.0,118,81,74,False
1,0.25,58,49,47,True
2,0.5,23,21,21,False
3,0.75,15,11,11,True
4,1.0,1,1,1,False
1,0.2,21,19,19,True
2,0.4,26,23,22,False
3,0.6,12,12,12,False
4,0.8,52,41,41,True
5,1.0,43,35,33,False
1,0.2,39,33,30,True
2,0.4,114,74,70,False
3,0.6,10,7,7,True
4,0.8,25,21,21,False
5,1.0,5,5,5,False
1,0.25,29,26,26,True
2,0.5,27,22,22,False
3,0.75,146,104,93,False
4,1.0,18,17,17,False
1,0.16666666666666666,52,38,36,True
2,0.3333333333333333,2,2,2,False
3,0.5,53,40,40,True
4,0.6666666666666666,54,35,32,False
5,0.8333333333333334,37,29,28,True
6,1.0,41,33,33,False
1,0.14285714285714285,103,66,60,True
2,0.2857142857142857,61,46,44,False
3,0.42857142857142855,16,15,15,False
4,0.5714285714285714,103,72,67,True
5,0.7142857142857143,39,30,29,False
6,0.8571428571428571,17,14,13,True
7,1.0,24,21,21,False
1,0.3333333333333333,52,40,39,True
2,0.6666666666666666,60,42,41,False
3,1.0,28,25,25,False
1,0.3333333333333333,179,110,105,True
2,0.6666666666666666,346,175,157,True
3,1.0,33,29,29,False
1,0.25,3,3,3,True
2,0.5,94,62,57,False
3,0.75,4,4,4,True
4,1.0,15,12,12,False
1,0.25,27,23,23,True
2,0.5,7,7,7,False
3,0.75,73,52,48,False
4,1.0,16,11,11,True
1,0.25,10,8,8,True
2,0.5,49,43,42,False
3,0.75,13,11,10,False
4,1.0,13,11,9,False
1,0.25,43,26,25,True
2,0.5,32,27,27,False
3,0.75,21,18,18,True
4,1.0,74,50,47,False
1,0.3333333333333333,77,47,46,True
2,0.6666666666666666,58,49,47,False
3,1.0,80,57,55,True
1,0.25,22,22,21,True
2,0.5,47,33,31,False
3,0.75,220,137,127,True
4,1.0,58,49,46,False
1,0.14285714285714285,65,48,44,True
2,0.2857142857142857,46,39,39,False
3,0.42857142857142855,35,30,28,True
4,0.5714285714285714,80,42,40,False
5,0.7142857142857143,24,21,20,True
6,0.8571428571428571,69,41,39,False
7,1.0,13,12,12,True
1,0.25,22,19,19,True
2,0.5,27,24,21,False
3,0.75,14,13,13,True
4,1.0,12,11,11,False
1,0.14285714285714285,12,10,10,True
2,0.2857142857142857,91,69,68,False
3,0.42857142857142855,65,46,45,False
4,0.5714285714285714,9,8,8,True
5,0.7142857142857143,7,7,7,False
6,0.8571428571428571,3,3,3,False
7,1.0,4,4,4,False
1,0.25,27,20,20,True
2,0.5,27,22,20,False
3,0.75,28,24,23,False
4,1.0,111,75,73,False
1,0.3333333333333333,13,13,13,True
2,0.6666666666666666,41,36,36,False
3,1.0,19,18,18,False
1,0.3333333333333333,11,10,10,True
2,0.6666666666666666,13,13,13,False
3,1.0,47,40,40,False
1,0.3333333333333333,7,7,7,True
2,0.6666666666666666,3,3,3,False
3,1.0,22,20,20,False
1,0.25,25,24,24,True
2,0.5,41,35,33,False
3,0.75,12,11,11,True
4,1.0,51,45,41,False
1,0.3333333333333333,66,56,54,True
2,0.6666666666666666,11,11,10,False
3,1.0,13,11,11,False
1,0.3333333333333333,21,21,21,True
2,0.6666666666666666,35,31,30,False
3,1.0,22,20,20,False
1,0.3333333333333333,23,17,17,True
2,0.6666666666666666,76,59,55,False
3,1.0,69,49,46,False
1,0.3333333333333333,46,34,34,True
2,0.6666666666666666,63,46,45,False
3,1.0,9,9,9,True
1,0.2,23,20,19,True
2,0.4,56,46,43,False
3,0.6,26,22,22,True
4,0.8,11,11,11,True
5,1.0,62,39,38,False
1,0.25,8,8,8,True
2,0.5,32,29,29,False
3,0.75,7,7,7,True
4,1.0,36,29,28,False
1,0.25,74,61,59,True
2,0.5,38,33,33,False
3,0.75,33,27,26,True
4,1.0,72,44,42,False
1,0.25,41,24,22,True
2,0.5,86,63,60,False
3,0.75,8,8,8,True
4,1.0,27,21,21,False
1,0.3333333333333333,41,33,33,True
2,0.6666666666666666,15,14,14,True
3,1.0,33,26,26,False
1,0.25,14,13,13,True
2,0.5,132,92,87,False
3,0.75,12,12,12,True
4,1.0,17,16,16,False
1,0.3333333333333333,68,53,50,True
2,0.6666666666666666,92,59,50,False
3,1.0,29,25,24,False
1,0.3333333333333333,66,52,50,True
2,0.6666666666666666,79,49,44,False
3,1.0,47,33,31,False
1,0.3333333333333333,10,10,10,True
2,0.6666666666666666,35,32,30,False
3,1.0,38,30,27,False
1,0.16666666666666666,163,116,109,True
2,0.3333333333333333,126,86,77,False
3,0.5,78,54,53,True
4,0.6666666666666666,12,11,11,False
5,0.8333333333333334,37,30,30,True
6,1.0,28,23,22,False
1,0.25,7,7,7,True
2,0.5,70,55,52,False
3,0.75,16,15,15,True
4,1.0,16,12,12,False
1,0.3333333333333333,70,42,38,True
2,0.6666666666666666,48,35,34,False
3,1.0,5,5,5,True
1,0.3333333333333333,6,6,6,True
2,0.6666666666666666,6,6,6,False
3,1.0,101,30,27,False
1,0.14285714285714285,58,43,42,True
2,0.2857142857142857,40,31,29,False
3,0.42857142857142855,51,43,43,False
4,0.5714285714285714,131,88,86,False
5,0.7142857142857143,85,60,59,False
6,0.8571428571428571,25,17,17,False
7,1.0,35,25,23,False
1,0.3333333333333333,98,71,68,True
2,0.6666666666666666,34,31,31,False
3,1.0,20,20,20,False
1,0.3333333333333333,108,69,65,True
2,0.6666666666666666,59,41,38,False
3,1.0,6,5,5,False
1,0.3333333333333333,16,13,12,True
2,0.6666666666666666,39,32,30,False
3,1.0,14,13,13,True
1,0.25,83,56,51,True
2,0.5,57,47,45,False
3,0.75,23,19,19,True
4,1.0,38,28,28,False
1,0.3333333333333333,5,5,5,True
2,0.6666666666666666,31,25,25,False
3,1.0,19,15,15,False
1,0.16666666666666666,38,33,31,True
2,0.3333333333333333,28,27,27,False
3,0.5,27,23,22,True
4,0.6666666666666666,13,13,12,True
5,0.8333333333333334,17,16,15,False
6,1.0,11,11,11,False
1,0.1111111111111111,66,46,42,True
2,0.2222222222222222,36,28,26,False
3,0.3333333333333333,10,8,8,False
4,0.4444444444444444,12,11,11,False
5,0.5555555555555556,192,94,87,True
6,0.6666666666666666,69,60,58,False
7,0.7777777777777778,55,45,42,False
8,0.8888888888888888,11,9,9,True
9,1.0,15,11,11,True
1,0.2,25,20,19,True
2,0.4,74,55,49,False
3,0.6,25,18,16,True
4,0.8,44,34,31,False
5,1.0,47,36,34,True
1,0.3333333333333333,12,11,11,True
2,0.6666666666666666,27,21,21,False
3,1.0,6,6,6,False
1,0.125,34,30,28,True
2,0.25,52,37,35,False
3,0.375,30,26,25,True
4,0.5,15,15,15,False
5,0.625,102,61,56,True
6,0.75,69,52,51,False
7,0.875,62,48,46,True
8,1.0,36,30,29,False
1,0.25,35,28,26,True
2,0.5,9,9,9,True
3,0.75,17,16,16,False
4,1.0,35,28,27,False
1,0.3333333333333333,39,30,28,True
2,0.6666666666666666,55,43,40,False
3,1.0,59,44,40,False
1,0.3333333333333333,77,63,60,True
2,0.6666666666666666,40,33,33,False
3,1.0,40,31,29,True
1,0.16666666666666666,98,71,66,True
2,0.3333333333333333,46,28,28,True
3,0.5,47,33,33,False
4,0.6666666666666666,29,22,21,True
5,0.8333333333333334,27,23,23,False
6,1.0,42,34,33,False
1,0.16666666666666666,24,19,19,True
2,0.3333333333333333,57,41,41,False
3,0.5,15,15,15,True
4,0.6666666666666666,29,22,21,False
5,0.8333333333333334,5,5,5,False
6,1.0,18,14,14,False
1,0.25,40,24,23,True
2,0.5,90,66,62,False
3,0.75,15,14,14,False
4,1.0,120,58,54,False
1,0.3333333333333333,132,77,74,True
2,0.6666666666666666,56,46,45,False
3,1.0,87,59,57,False
1,0.14285714285714285,45,29,29,True
2,0.2857142857142857,73,40,39,False
3,0.42857142857142855,7,7,7,True
4,0.5714285714285714,72,39,39,True
5,0.7142857142857143,40,32,32,False
6,0.8571428571428571,8,8,8,True
7,1.0,43,29,28,False
1,0.3333333333333333,38,26,25,True
2,0.6666666666666666,18,16,15,False
3,1.0,1,1,1,True
1,0.3333333333333333,16,16,16,True
2,0.6666666666666666,59,43,40,False
3,1.0,37,36,33,True
1,0.16666666666666666,12,12,12,True
2,0.3333333333333333,26,20,20,False
3,0.5,16,15,15,True
4,0.6666666666666666,94,77,75,False
5,0.8333333333333334,36,31,30,False
6,1.0,63,45,43,False
1,0.25,78,54,51,True
2,0.5,84,55,51,False
3,0.75,24,21,20,True
4,1.0,42,30,27,False
1,0.16666666666666666,75,48,45,True
2,0.3333333333333333,40,33,33,True
3,0.5,164,93,87,False
4,0.6666666666666666,21,17,17,True
5,0.8333333333333334,162,97,85,False
6,1.0,16,14,14,False
1,0.3333333333333333,20,17,17,True
2,0.6666666666666666,22,20,19,False
3,1.0,17,15,14,True
1,0.2,17,15,15,True
2,0.4,14,13,13,False
3,0.6,3,3,3,True
4,0.8,169,124,112,False
5,1.0,3,3,3,True
1,0.1111111111111111,88,61,57,True
2,0.2222222222222222,35,26,26,False
3,0.3333333333333333,11,10,10,True
4,0.4444444444444444,7,7,7,True
5,0.5555555555555556,11,11,10,False
6,0.6666666666666666,30,25,24,True
7,0.7777777777777778,29,22,21,False
8,0.8888888888888888,17,15,15,True
9,1.0,9,8,8,False
1,0.3333333333333333,91,68,65,True
2,0.6666666666666666,269,127,113,False
3,1.0,21,19,19,True
1,0.3333333333333333,33,27,27,True
2,0.6666666666666666,74,54,51,False
3,1.0,20,17,17,True
1,0.25,110,72,64,True
2,0.5,2,2,2,True
3,0.75,33,22,22,False
4,1.0,16,14,13,True
1,0.125,55,41,40,True
2,0.25,57,45,42,False
3,0.375,141,91,85,True
4,0.5,43,37,37,False
5,0.625,34,25,25,False
6,0.75,38,32,32,False
7,0.875,134,87,82,False
8,1.0,58,47,44,False
1,0.25,106,79,74,True
2,0.5,25,20,20,False
3,0.75,6,6,6,True
4,1.0,16,14,14,False
1,0.25,54,42,41,True
2,0.5,57,45,45,False
3,0.75,14,12,12,True
4,1.0,17,15,15,False
1,0.25,24,24,23,True
2,0.5,71,47,42,False
3,0.75,61,45,43,True
4,1.0,37,33,32,True
1,0.2,36,29,27,True
2,0.4,21,20,20,False
3,0.6,33,26,24,True
4,0.8,10,8,7,False
5,1.0,25,19,19,False
1,0.2,37,24,23,True
2,0.4,50,36,34,False
3,0.6,16,12,12,True
4,0.8,31,22,22,False
5,1.0,96,62,56,True
1,0.25,25,19,19,True
2,0.5,31,27,26,False
3,0.75,14,14,13,True
4,1.0,62,47,43,False
1,0.3333333333333333,115,66,63,True
2,0.6666666666666666,102,76,73,False
3,1.0,156,96,90,False
1,0.16666666666666666,39,30,29,True
2,0.3333333333333333,72,51,46,False
3,0.5,68,55,51,True
4,0.6666666666666666,32,26,25,False
5,0.8333333333333334,96,78,73,False
6,1.0,13,13,13,True
1,0.14285714285714285,40,28,28,True
2,0.2857142857142857,13,11,11,True
3,0.42857142857142855,10,9,9,False
4,0.5714285714285714,3,3,3,False
5,0.7142857142857143,6,6,6,False
6,0.8571428571428571,5,5,5,False
7,1.0,5,5,5,True
1,0.3333333333333333,9,9,9,True
2,0.6666666666666666,8,8,8,False
3,1.0,3,3,2,True
1,0.3333333333333333,11,11,11,True
2,0.6666666666666666,137,90,81,False
3,1.0,21,21,21,False
1,0.25,21,19,19,True
2,0.5,292,130,113,False
3,0.75,11,10,10,False
4,1.0,5,5,5,False
1,0.3333333333333333,126,82,81,True
2,0.6666666666666666,35,29,29,False
3,1.0,21,16,16,True
1,0.25,27,21,20,True
2,0.5,66,51,44,False
3,0.75,27,21,20,True
4,1.0,63,42,40,False
1,0.2,188,120,115,True
2,0.4,67,56,51,False
3,0.6,54,40,38,True
4,0.8,20,19,18,False
5,1.0,56,39,38,True
1,0.3333333333333333,60,38,37,True
2,0.6666666666666666,37,33,30,False
3,1.0,40,34,34,False
1,0.2,66,47,45,True
2,0.4,41,33,33,False
3,0.6,30,26,25,True
4,0.8,51,27,27,False
5,1.0,76,26,26,False
1,0.3333333333333333,100,60,58,True
2,0.6666666666666666,60,45,41,False
3,1.0,21,20,20,False
1,0.3333333333333333,17,17,17,True
2,0.6666666666666666,18,16,16,False
3,1.0,38,35,34,False
1,0.25,9,9,9,True
2,0.5,62,43,38,False
3,0.75,2,2,2,True
4,1.0,5,4,4,False
1,0.16666666666666666,39,26,26,True
2,0.3333333333333333,33,26,26,False
3,0.5,72,54,51,True
4,0.6666666666666666,24,22,21,False
5,0.8333333333333334,7,6,6,True
6,1.0,51,36,35,False
1,0.125,17,15,14,True
2,0.25,53,34,30,False
3,0.375,33,24,22,True
4,0.5,50,34,32,False
5,0.625,27,26,25,True
6,0.75,30,26,26,True
7,0.875,332,184,172,False
8,1.0,20,17,17,False
1,0.3333333333333333,22,17,17,True
2,0.6666666666666666,19,16,16,False
3,1.0,144,70,65,True
1,0.2,78,57,53,True
2,0.4,42,33,28,False
3,0.6,44,33,31,False
4,0.8,57,46,45,False
5,1.0,69,55,54,True
1,0.3333333333333333,43,33,32,True
2,0.6666666666666666,55,46,45,False
3,1.0,22,18,17,False
1,0.2,74,59,57,True
2,0.4,88,58,57,False
3,0.6,14,12,10,True
4,0.8,47,36,34,True
5,1.0,15,15,15,False
1,0.3333333333333333,34,24,24,True
2,0.6666666666666666,58,43,39,False
3,1.0,25,20,19,False
1,0.2,37,32,31,True
2,0.4,11,11,10,False
3,0.6,81,51,49,True
4,0.8,52,38,36,False
5,1.0,4,4,4,True
1,0.25,44,30,30,True
2,0.5,41,34,34,False
3,0.75,46,36,35,True
4,1.0,34,28,28,False
1,0.25,22,17,17,True
2,0.5,157,94,88,False
3,0.75,13,12,12,True
4,1.0,21,19,19,False
1,0.25,28,23,21,True
2,0.5,45,26,25,False
3,0.75,129,78,70,False
4,1.0,6,6,6,False
1,0.3333333333333333,73,47,45,True
2,0.6666666666666666,42,25,25,False
3,1.0,7,6,6,True
1,0.16666666666666666,12,12,12,True
2,0.3333333333333333,28,24,22,False
3,0.5,20,15,15,True
4,0.6666666666666666,54,44,42,False
5,0.8333333333333334,15,13,13,True
6,1.0,13,13,13,False
1,0.3333333333333333,125,91,84,True
2,0.6666666666666666,13,12,12,False
3,1.0,133,96,89,True
1,0.25,92,50,48,True
2,0.5,17,15,15,False
3,0.75,20,17,17,False
4,1.0,3,3,3,True
1,0.3333333333333333,38,30,30,True
2,0.6666666666666666,28,24,24,False
3,1.0,16,15,14,False
1,0.3333333333333333,53,36,35,True
2,0.6666666666666666,70,47,42,False
3,1.0,14,13,13,False
1,0.2,99,47,43,True
2,0.4,81,58,52,False
3,0.6,60,47,46,False
4,0.8,4,4,4,True
5,1.0,4,4,4,True
1,0.3333333333333333,76,51,50,True
2,0.6666666666666666,99,70,65,False
3,1.0,8,8,8,True
1,0.3333333333333333,29,25,25,True
2,0.6666666666666666,15,8,8,False
3,1.0,26,22,21,True
1,0.3333333333333333,44,33,31,True
2,0.6666666666666666,73,46,42,False
3,1.0,16,14,14,False
1,0.25,17,16,16,True
2,0.5,85,63,60,False
3,0.75,7,7,7,False
4,1.0,70,49,46,False
1,0.2,36,28,25,True
2,0.4,108,65,62,False
3,0.6,32,24,24,False
4,0.8,26,20,19,True
5,1.0,20,17,17,False
1,0.25,34,29,27,True
2,0.5,144,107,96,False
3,0.75,65,43,41,True
4,1.0,42,32,30,False
1,0.3333333333333333,132,80,76,True
2,0.6666666666666666,47,33,33,False
3,1.0,12,10,10,False
1,0.25,5,5,5,True
2,0.5,5,5,5,True
3,0.75,38,31,31,False
4,1.0,9,7,7,False
1,0.25,34,26,25,True
2,0.5,31,28,26,False
3,0.75,525,234,186,False
4,1.0,5,5,5,False
1,0.3333333333333333,21,19,18,True
2,0.6666666666666666,20,19,19,False
3,1.0,28,25,24,False
1,0.25,162,98,96,True
2,0.5,25,25,25,False
3,0.75,23,22,22,True
4,1.0,123,88,83,False
1,0.3333333333333333,45,36,34,True
2,0.6666666666666666,25,25,25,False
3,1.0,102,77,73,False
1,0.16666666666666666,73,58,56,True
2,0.3333333333333333,17,15,14,False
3,0.5,18,16,16,True
4,0.6666666666666666,34,24,23,False
5,0.8333333333333334,9,8,8,False
6,1.0,77,52,49,False
1,0.2,67,44,39,True
2,0.4,36,29,28,False
3,0.6,23,17,15,True
4,0.8,125,86,83,False
5,1.0,21,17,17,False
1,0.25,119,83,77,True
2,0.5,54,43,43,False
3,0.75,12,11,11,True
4,1.0,13,12,12,True
1,0.3333333333333333,39,29,28,True
2,0.6666666666666666,324,169,146,False
3,1.0,84,60,56,False
1,0.16666666666666666,36,32,31,True
2,0.3333333333333333,116,87,82,False
3,0.5,19,16,16,True
4,0.6666666666666666,8,7,7,False
5,0.8333333333333334,278,170,155,False
6,1.0,13,10,10,False
1,0.2,86,61,59,True
2,0.4,92,56,53,False
3,0.6,32,29,28,True
4,0.8,191,82,78,False
5,1.0,53,36,36,False
1,0.3333333333333333,32,24,22,True
2,0.6666666666666666,52,39,38,False
3,1.0,3,3,3,True
1,0.25,19,19,19,True
2,0.5,33,27,27,False
3,0.75,409,101,93,True
4,1.0,26,24,24,False
1,0.3333333333333333,59,41,39,True
2,0.6666666666666666,42,33,33,False
3,1.0,41,32,32,False
1,0.3333333333333333,23,18,18,True
2,0.6666666666666666,99,56,51,False
3,1.0,9,6,6,False
1,0.3333333333333333,54,46,44,True
2,0.6666666666666666,167,105,94,False
3,1.0,79,60,57,True
1,0.2,85,51,49,True
2,0.4,11,11,11,False
3,0.6,17,16,16,True
4,0.8,20,19,19,False
5,1.0,46,39,39,False
1,0.3333333333333333,55,36,35,True
2,0.6666666666666666,9,8,8,False
3,1.0,5,4,4,True
1,0.3333333333333333,91,69,67,True
2,0.6666666666666666,43,34,34,False
3,1.0,15,14,14,False
1,0.25,15,13,13,True
2,0.5,275,138,123,False
3,0.75,3,3,3,False
4,1.0,45,36,34,False
1,0.3333333333333333,110,74,68,True
2,0.6666666666666666,50,41,40,True
3,1.0,119,89,85,False
1,0.16666666666666666,63,45,41,True
2,0.3333333333333333,50,35,31,False
3,0.5,10,10,10,True
4,0.6666666666666666,22,22,22,False
5,0.8333333333333334,15,12,12,True
6,1.0,13,12,12,False
1,0.2,11,11,11,True
2,0.4,53,43,42,False
3,0.6,34,29,29,False
4,0.8,17,17,17,True
5,1.0,36,33,33,False
1,0.3333333333333333,33,28,28,True
2,0.6666666666666666,73,51,50,False
3,1.0,38,32,32,False
1,0.3333333333333333,16,16,15,True
2,0.6666666666666666,18,16,16,False
3,1.0,24,20,20,True
1,0.3333333333333333,6,6,6,True
2,0.6666666666666666,28,19,19,False
3,1.0,4,4,4,True
1,0.3333333333333333,25,20,20,True
2,0.6666666666666666,17,17,17,False
3,1.0,190,115,99,False
1,0.3333333333333333,55,43,42,True
2,0.6666666666666666,22,20,20,False
3,1.0,11,11,11,True
1,0.2,96,58,57,True
2,0.4,131,91,87,False
3,0.6,46,34,34,True
4,0.8,36,28,28,False
5,1.0,4,3,3,False
1,0.25,29,24,24,True
2,0.5,22,20,19,False
3,0.75,15,15,14,False
4,1.0,91,49,46,False
1,0.25,30,25,25,True
2,0.5,99,54,51,False
3,0.75,24,20,20,True
4,1.0,6,5,5,False
1,0.1,21,20,20,True
2,0.2,13,12,12,False
3,0.3,35,28,25,True
4,0.4,25,24,23,True
5,0.5,65,48,45,False
6,0.6,29,25,25,True
7,0.7,48,28,27,True
8,0.8,51,43,41,False
9,0.9,68,43,38,True
10,1.0,50,39,38,False
1,0.3333333333333333,69,55,53,True
2,0.6666666666666666,40,35,34,False
3,1.0,30,27,27,True
1,0.25,56,32,32,True
2,0.5,72,53,51,False
3,0.75,14,13,13,False
4,1.0,5,5,5,True
1,0.1111111111111111,31,26,26,True
2,0.2222222222222222,75,48,44,False
3,0.3333333333333333,10,9,9,False
4,0.4444444444444444,28,21,21,True
5,0.5555555555555556,24,22,21,False
6,0.6666666666666666,24,23,23,False
7,0.7777777777777778,11,11,11,True
8,0.8888888888888888,12,11,11,False
9,1.0,64,55,53,False
1,0.25,35,26,23,True
2,0.5,92,59,55,False
3,0.75,34,23,22,False
4,1.0,5,3,3,False
1,0.1111111111111111,60,39,37,True
2,0.2222222222222222,43,34,34,False
3,0.3333333333333333,42,33,33,False
4,0.4444444444444444,51,37,33,True
5,0.5555555555555556,27,24,24,False
6,0.6666666666666666,23,20,20,True
7,0.7777777777777778,37,31,29,False
8,0.8888888888888888,72,55,55,True
9,1.0,65,52,48,False
1,0.2,42,36,33,True
2,0.4,109,72,66,False
3,0.6,53,41,39,True
4,0.8,88,65,63,False
5,1.0,13,12,12,True
1,0.14285714285714285,37,27,26,True
2,0.2857142857142857,24,21,21,False
3,0.42857142857142855,28,24,23,True
4,0.5714285714285714,53,35,34,False
5,0.7142857142857143,49,36,33,False
6,0.8571428571428571,3,3,3,True
7,1.0,14,12,12,True
1,0.25,50,31,28,True
2,0.5,113,78,71,False
3,0.75,22,17,16,False
4,1.0,4,4,4,False
1,0.2,42,28,25,True
